,Unnamed: 0,Sampled_Day,user_id,movie_id,rating,movie_title
0,0,4.0,307,0,4,Toy Story
1,1,18.0,250,99,4,Fargo
2,2,6.0,24,180,5,Return of the Jedi
3,3,2.0,19,287,1,Scream
4,4,3.0,31,293,3,Liar Liar
5,5,12.0,43,293,4,Liar Liar
6,6,22.0,25,257,3,Contact
7,7,27.0,193,180,3,Return of the Jedi
8,8,8.0,65,257,4,Contact
9,9,16.0,206,257,4,Contact
10,10,5.0,190,285,4,"English Patient, The"
11,11,6.0,133,285,3,"English Patient, The"
12,12,12.0,286,0,5,Toy Story
13,13,29.0,285,287,5,Scream
14,14,23.0,289,49,5,Star Wars
15,15,26.0,263,293,3,Liar Liar
16,16,11.0,230,180,4,Return of the Jedi
17,17,24.0,55,120,5,Independence Day
18,18,21.0,297,180,4,Return of the Jedi
19,19,7.0,9,99,5,Fargo
20,20,27.0,244,180,4,Return of the Jedi
21,21,16.0,180,120,4,Independence Day
22,22,25.0,275,180,5,Return of the Jedi
23,23,19.0,266,120,3,Independence Day
24,24,29.0,125,293,3,Liar Liar
25,25,27.0,36,287,4,Scream
26,26,8.0,89,257,3,Contact
27,27,23.0,107,99,4,Fargo
28,28,2.0,91,120,5,Independence Day
29,29,20.0,253,120,3,Independence Day
30,30,27.0,275,293,4,Liar Liar
31,31,8.0,78,49,4,Star Wars
32,32,16.0,5,257,2,Contact
33,33,11.0,149,180,5,Return of the Jedi
34,34,5.0,147,0,4,Toy Story
35,35,11.0,279,0,4,Toy Story
36,36,14.0,197,257,4,Contact
37,37,22.0,83,120,4,Independence Day
38,38,19.0,12,180,5,Return of the Jedi
39,39,24.0,1,49,5,Star Wars
40,40,26.0,7,49,5,Star Wars
41,41,11.0,62,99,5,Fargo
42,42,24.0,273,49,5,Star Wars
43,43,9.0,65,180,5,Return of the Jedi
44,44,24.0,43,257,4,Contact
45,45,4.0,22,257,5,Contact
46,46,24.0,311,99,4,Fargo
47,47,11.0,116,180,5,Return of the Jedi
48,48,10.0,140,257,5,Contact
49,49,28.0,65,0,3,Toy Story
50,50,26.0,4,0,4,Toy Story
51,51,1.0,108,0,4,Toy Story
